data-time,wind,dir,slp,t2,rh2,td2
20180310-19,0.83,275.0,1022.4,274.15,52.0,265.36
20180310-20,0.66,247.0,1022.0,272.75,54.0,265.39
20180310-21,0.64,232.0,1022.1,272.75,52.0,264.95
20180310-22,1.21,44.0,1022.2,273.85,54.0,265.57
20180310-23,0.58,254.0,1022.6,272.45,58.0,265.94
20180311-0,1.96,312.0,1022.8,274.95,46.0,264.51
20180311-1,1.62,305.0,1022.7,276.85,38.0,263.79
20180311-2,0.86,280.0,1022.5,278.15,34.0,263.54
20180311-3,1.49,90.0,1021.8,277.95,33.0,262.97
20180311-4,2.92,78.0,1020.8,278.55,35.0,264.27
20180311-5,2.27,43.0,1019.9,279.15,32.0,263.65
20180311-6,2.05,73.0,1018.5,279.75,31.0,263.78
20180311-7,2.32,63.0,1017.7,280.35,30.0,263.89
20180311-8,2.62,131.0,1016.8,280.15,35.0,265.71
20180311-9,1.41,132.0,1016.3,280.35,36.0,266.26
20180311-10,1.83,180.0,1016.2,280.15,39.0,267.13
20180311-11,1.75,176.0,1016.1,279.95,41.0,267.61
20180311-12,3.21,356.0,1016.3,279.05,34.0,264.34
20180311-13,2.17,23.0,1016.1,279.45,33.0,264.32
20180311-14,2.32,18.0,1015.9,279.75,33.0,264.58
20180311-15,1.68,317.0,1015.6,278.85,35.0,264.54
20180311-16,0.52,23.0,1015.0,278.85,36.0,264.9
20180311-17,2.33,154.0,1014.6,278.45,52.0,269.38
20180311-18,2.06,149.0,1014.0,277.95,67.0,272.35
20180311-19,1.5,158.0,1013.2,276.85,71.0,272.08
20180311-20,1.74,183.0,1012.4,275.45,78.0,272.01
20180311-21,1.04,178.0,1012.0,275.25,77.0,271.64
20180311-22,1.68,302.0,1011.8,275.05,53.0,266.45
20180311-23,0.87,243.0,1011.6,275.35,51.0,266.23
20180312-0,1.82,316.0,1011.8,276.95,47.0,266.65
20180312-1,1.03,327.0,1011.8,279.05,41.0,266.78
20180312-2,1.3,323.0,1011.1,281.15,34.0,266.23
20180312-3,1.11,200.0,1010.3,281.45,35.0,266.88
20180312-4,2.07,127.0,1009.3,282.45,36.0,268.15
20180312-5,0.75,320.0,1008.3,283.95,34.0,268.74
20180312-6,1.99,226.0,1006.9,284.85,36.0,270.31
20180312-7,2.85,198.0,1006.4,285.55,37.0,271.31
20180312-8,2.62,180.0,1005.7,285.45,38.0,271.59
20180312-9,2.61,201.0,1005.6,285.15,40.0,272.01
20180312-10,1.95,159.0,1005.9,284.65,43.0,272.55
20180312-11,1.47,126.0,1006.3,284.65,43.0,272.55
20180312-12,2.08,102.0,1006.7,283.75,47.0,272.94
20180312-13,1.94,134.0,1006.8,282.75,51.0,273.14
20180312-14,2.3,108.0,1006.6,282.45,52.0,273.13
20180312-15,1.54,200.0,1006.7,281.15,57.0,273.17
20180312-16,2.03,68.0,1006.5,280.75,58.0,273.03
20180312-17,1.93,97.0,1006.3,280.25,59.0,272.8
20180312-18,1.65,48.0,1006.3,280.25,60.0,273.03
20180312-19,1.25,20.0,1005.9,277.85,66.0,272.05
20180312-20,2.0,340.0,1005.7,276.75,64.0,270.57
20180312-21,2.09,351.0,1005.6,276.05,66.0,270.32
20180312-22,1.73,326.0,1005.5,276.45,67.0,270.91
20180312-23,2.99,349.0,1005.8,276.25,66.0,270.51
20180313-0,2.66,351.0,1006.2,278.35,60.0,271.22
20180313-1,2.7,339.0,1006.5,281.15,50.0,271.38
20180313-2,2.11,336.0,1006.3,284.25,42.0,271.86
20180313-3,1.7,314.0,1006.1,286.25,37.0,271.95
20180313-4,1.5,286.0,1005.3,288.35,32.0,271.84
20180313-5,2.1,105.0,1004.7,289.05,31.0,272.03
20180313-6,1.17,246.0,1003.8,291.05,28.0,272.4
20180313-7,1.92,223.0,1003.2,291.65,27.0,272.42
20180313-8,2.17,212.0,1003.1,292.15,26.0,272.34
20180313-9,1.53,201.0,1003.2,291.75,26.0,271.99
20180313-10,1.2,104.0,1003.6,291.45,27.0,272.25
20180313-11,1.6,73.0,1004.1,290.85,29.0,272.7
20180313-12,1.4,107.0,1004.9,289.75,31.0,272.65
20180313-13,2.64,85.0,1005.4,289.25,33.0,273.07
20180313-14,2.32,71.0,1005.6,288.25,37.0,273.75
20180313-15,1.88,105.0,1005.8,286.25,43.0,274.02
20180313-16,1.8,123.0,1006.0,285.95,44.0,274.06
20180313-17,0.82,84.0,1006.5,285.25,47.0,274.33
20180313-18,3.29,75.0,1007.0,284.35,60.0,276.92
20180313-19,3.33,116.0,1006.4,283.45,70.0,278.25
20180313-20,1.97,205.0,1006.0,282.75,74.0,278.37
20180313-21,0.62,271.0,1006.0,282.25,76.0,278.27
20180313-22,1.19,211.0,1006.0,281.85,77.0,278.06
20180313-23,3.29,116.0,1006.3,283.05,71.0,278.07
20180314-0,1.49,132.0,1006.7,282.65,72.0,277.88
20180314-1,1.55,73.0,1006.9,283.55,68.0,277.93
20180314-2,2.38,124.0,1006.4,284.75,62.0,277.76
20180314-3,3.01,119.0,1006.3,286.25,57.0,277.98
20180314-4,4.58,88.0,1005.3,286.85,56.0,278.3
20180314-5,4.09,88.0,1004.6,287.75,54.0,278.62
20180314-6,2.56,92.0,1003.8,287.45,55.0,278.6
20180314-7,2.96,116.0,1003.2,287.65,55.0,278.79
20180314-8,3.21,106.0,1003.1,287.95,54.0,278.81
20180314-9,2.07,69.0,1002.9,288.15,55.0,279.26
20180314-10,2.63,4.0,1003.3,288.25,54.0,279.09
20180314-11,2.27,29.0,1003.1,288.05,56.0,279.43
20180314-12,2.73,343.0,1004.3,286.65,59.0,278.86
20180314-13,2.34,336.0,1005.2,286.15,61.0,278.86
20180314-14,4.41,313.0,1006.1,287.35,58.0,279.27
20180314-15,4.06,350.0,1006.9,285.65,64.0,279.07
20180314-16,6.12,18.0,1008.2,287.15,55.0,278.32
20180314-17,7.6,29.0,1009.1,287.85,31.0,270.97
20180314-18,10.37,8.0,1010.8,286.75,28.0,268.63
20180314-19,8.21,22.0,1012.6,285.75,28.0,267.75
20180314-20,8.0,28.0,1014.2,284.45,31.0,267.95
20180314-21,8.71,33.0,1015.3,283.55,31.0,267.15
20180314-22,9.66,24.0,1017.7,282.65,30.0,265.93
20180314-23,9.13,29.0,1019.3,282.05,29.0,264.95
20180315-0,9.58,29.0,1021.2,281.05,24.0,261.65
20180315-1,11.26,15.0,1022.3,281.25,16.0,256.79
20180315-2,10.89,17.0,1023.1,281.85,13.0,254.77
20180315-3,9.75,19.0,1023.4,282.25,11.0,253.11
20180315-4,9.25,19.0,1023.7,283.05,11.0,253.75
20180315-5,8.25,32.0,1023.2,284.15,10.0,253.5
20180315-6,5.32,25.0,1023.0,284.75,10.0,253.97
20180315-7,6.96,44.0,1022.6,285.25,9.0,253.12
20180315-8,7.48,52.0,1022.4,285.85,8.0,252.2
20180315-9,6.65,63.0,1022.7,285.65,9.0,253.43
20180315-10,5.17,53.0,1023.3,285.05,9.0,252.96
20180315-11,4.32,146.0,1024.0,282.15,28.0,264.59
20180315-12,3.74,140.0,1025.7,281.45,28.0,263.97
20180315-13,4.36,143.0,1027.2,280.75,27.0,262.89
20180315-14,4.08,173.0,1028.4,278.15,36.0,264.27
20180315-15,3.66,172.0,1028.9,276.35,41.0,264.31
20180315-16,4.12,174.0,1029.5,275.15,50.0,265.78
20180315-17,3.62,174.0,1029.8,274.05,57.0,266.46
20180315-18,2.63,171.0,1029.8,273.45,58.0,266.12
20180315-19,2.42,165.0,1029.5,273.25,59.0,266.16
20180315-20,2.26,182.0,1029.8,273.45,61.0,266.79
20180315-21,2.8,172.0,1029.7,273.05,59.0,265.97
20180315-22,2.1,158.0,1030.0,273.45,58.0,266.12
20180315-23,1.83,173.0,1030.5,273.65,60.0,266.76
20180316-0,2.13,168.0,1030.7,275.55,54.0,267.17
20180316-1,2.23,190.0,1031.1,277.15,46.0,266.55
20180316-2,3.75,210.0,1031.0,278.25,40.0,265.73
20180316-3,3.41,226.0,1030.2,279.45,35.0,265.08
20180316-4,1.79,241.0,1028.8,280.65,33.0,265.39
20180316-5,4.44,222.0,1027.3,281.25,31.0,265.11
20180316-6,3.72,205.0,1025.8,282.35,29.0,265.22
20180316-7,4.68,196.0,1024.7,282.95,28.0,265.29
20180316-8,4.03,195.0,1024.2,283.15,26.0,264.5
20180316-9,5.31,178.0,1023.8,282.35,27.0,264.29
20180316-10,4.27,199.0,1023.5,281.25,30.0,264.69
20180316-11,4.94,197.0,1023.7,280.45,31.0,264.4
20180316-12,3.13,176.0,1024.2,278.45,36.0,264.54
20180316-13,2.85,166.0,1024.3,278.85,37.0,265.26
20180316-14,5.97,159.0,1024.6,277.95,40.0,265.46
20180316-15,4.57,166.0,1024.5,276.75,41.0,264.68
20180316-16,2.53,154.0,1024.3,276.05,41.0,264.04
20180316-17,3.54,151.0,1023.6,276.15,39.0,263.49
20180316-18,3.06,108.0,1023.5,276.05,43.0,264.65
20180316-19,2.86,101.0,1022.5,275.35,44.0,264.31
20180316-20,1.7,90.0,1022.0,275.25,46.0,264.79
20180316-21,2.11,102.0,1021.9,275.15,47.0,264.98
20180316-22,1.98,147.0,1021.8,275.55,43.0,264.2
20180316-23,1.53,149.0,1021.9,275.85,41.0,263.86
20180317-0,2.07,133.0,1022.4,275.75,41.0,263.77
20180317-1,1.36,182.0,1023.2,275.15,55.0,267.03
20180317-2,3.43,24.0,1023.5,274.75,71.0,270.05
20180317-3,3.45,48.0,1023.0,273.25,94.0,272.4
20180317-4,3.14,67.0,1022.4,273.85,95.0,273.14
20180317-5,2.58,78.0,1021.7,273.15,97.0,272.73
20180317-6,2.28,77.0,1021.1,273.95,95.0,273.24
20180317-7,1.71,124.0,1020.8,274.55,88.0,272.78
20180317-8,6.66,-9999.0,1020.5,274.35,88.0,272.58
20180317-9,1.75,188.0,1020.3,274.25,90.0,272.79
20180317-10,2.0,118.0,1020.5,274.65,89.0,273.03
20180317-11,1.6,156.0,1020.6,274.75,89.0,273.13
20180317-12,2.18,174.0,1021.0,274.25,93.0,273.24
20180317-13,2.09,181.0,1021.4,274.45,95.0,273.74
20180317-14,1.36,169.0,1021.3,274.65,95.0,273.94
20180317-15,1.69,91.0,1021.1,275.05,91.0,273.74
20180317-16,1.41,93.0,1021.0,274.95,91.0,273.64
20180317-17,1.55,135.0,1020.7,275.05,91.0,273.74
20180317-18,0.9,37.0,1020.7,275.15,87.0,273.22
20180317-19,1.13,14.0,1020.0,274.95,90.0,273.49
20180317-20,1.72,325.0,1019.6,274.65,89.0,273.03
20180317-21,1.69,302.0,1019.8,274.45,87.0,272.52
20180317-22,2.79,3.0,1020.2,273.25,93.0,272.25
20180317-23,2.8,5.0,1020.0,274.15,90.0,272.69
20180318-0,1.7,277.0,1020.3,275.15,83.0,272.57
20180318-1,3.0,311.0,1020.8,276.85,77.0,273.2
20180318-2,3.1,12.0,1020.9,278.35,67.0,272.73
20180318-3,1.8,47.0,1020.7,279.85,61.0,272.87
20180318-4,2.09,43.0,1020.1,281.55,55.0,273.06
20180318-5,0.86,228.0,1019.0,283.35,47.0,272.57
20180318-6,2.04,140.0,1017.8,283.75,44.0,272.04
20180318-7,2.02,204.0,1017.1,284.65,43.0,272.55
20180318-8,2.63,186.0,1016.8,285.15,42.0,272.68
20180318-9,2.65,154.0,1016.7,285.15,42.0,272.68
20180318-10,2.65,158.0,1017.4,283.85,46.0,272.74
20180318-11,2.9,141.0,1018.2,282.55,51.0,272.95
20180318-12,2.64,183.0,1018.8,280.15,61.0,273.16
20180318-13,2.89,148.0,1019.3,280.95,65.0,274.8
20180318-14,2.46,159.0,1019.7,279.45,74.0,275.17
20180318-15,2.73,176.0,1019.9,278.65,76.0,274.77
20180318-16,1.0,69.0,1019.8,279.55,72.0,274.88
20180318-17,1.88,78.0,1019.9,278.35,78.0,274.84
20180318-18,1.1,346.0,1019.7,277.95,78.0,274.45
20180318-19,3.61,350.0,1019.5,276.75,80.0,273.63
20180318-20,3.34,303.0,1019.4,277.75,75.0,273.71
20180318-21,2.28,22.0,1019.9,277.25,73.0,272.85
20180318-22,4.0,351.0,1020.5,277.05,73.0,272.66
20180318-23,1.62,350.0,1021.4,277.75,70.0,272.76
20180319-0,1.72,288.0,1022.5,279.65,63.0,273.13
20180319-1,2.16,340.0,1023.1,282.25,49.0,272.12
20180319-2,2.81,43.0,1023.1,283.75,41.0,271.08
20180319-3,4.31,66.0,1023.1,285.75,27.0,267.27
20180319-4,3.0,98.0,1022.9,286.65,28.0,268.54
20180319-5,3.69,134.0,1022.1,287.55,27.0,268.84
20180319-6,2.65,128.0,1021.2,288.15,26.0,268.86
20180319-7,3.0,84.0,1020.5,288.35,26.0,269.04
20180319-8,2.98,163.0,1020.4,288.15,24.0,267.8
20180319-9,2.65,162.0,1020.4,288.05,24.0,267.71
20180319-10,4.73,151.0,1021.2,286.55,24.0,266.41
20180319-11,4.27,130.0,1022.0,285.25,23.0,264.74
20180319-12,3.14,134.0,1022.7,284.45,24.0,264.6
20180319-13,2.75,130.0,1023.5,284.35,24.0,264.51
20180319-14,4.16,111.0,1024.2,283.65,22.0,262.79
20180319-15,5.02,123.0,1024.9,282.45,20.0,260.56
20180319-16,3.05,153.0,1025.5,281.35,24.0,261.91
20180319-17,2.41,175.0,1026.1,280.05,34.0,265.24
20180319-18,1.36,182.0,1026.3,279.65,35.0,265.26
20180319-19,2.31,355.0,1026.1,279.35,36.0,265.35
20180319-20,5.28,67.0,1025.7,279.75,18.0,256.97
20180319-21,6.32,32.0,1025.8,279.35,16.0,255.2
20180319-22,6.32,30.0,1026.3,278.85,15.0,254.02
20180319-23,4.97,39.0,1027.1,279.35,14.0,253.61
20180320-0,6.05,33.0,1027.5,279.65,13.0,252.98
20180320-1,6.17,33.0,1028.0,280.75,11.0,251.9
20180320-2,3.87,71.0,1027.8,281.95,11.0,252.87
20180320-3,2.07,85.0,1027.2,283.05,11.0,253.75
20180320-4,1.46,316.0,1026.3,283.75,11.0,254.31
20180320-5,1.37,189.0,1025.2,284.05,11.0,254.55
20180320-6,2.22,91.0,1024.2,284.35,11.0,254.79
20180320-7,2.77,196.0,1023.4,284.25,12.0,255.76
20180320-8,2.16,165.0,1023.0,284.55,12.0,256.0
20180320-9,2.24,173.0,1022.7,284.05,13.0,256.57
20180320-10,3.77,168.0,1022.8,282.85,16.0,258.12
20180320-11,3.2,172.0,1023.2,281.55,20.0,259.79
20180320-12,2.35,158.0,1023.4,281.05,21.0,259.98
20180320-13,2.82,171.0,1023.7,279.95,22.0,259.61
20180320-14,2.65,194.0,1023.8,278.65,25.0,260.08
20180320-15,3.3,225.0,1023.5,280.15,19.0,257.97
20180320-16,2.51,179.0,1023.4,278.35,24.0,259.31
