data-time,wind,ap,tmp,humi
2018-06-22-17:00:00,3.2,1003.34,298.25,64.0
2018-06-22-18:00:00,3.38,1002.84,297.65,67.0
2018-06-22-19:00:00,2.14,1002.63,296.65,71.0
2018-06-22-20:00:00,2.58,1002.83,295.55,76.0
2018-06-22-21:00:00,2.06,1003.03,295.15,79.0
2018-06-22-22:00:00,2.65,1002.93,295.95,77.0
2018-06-22-23:00:00,3.09,1003.34,297.75,69.0
2018-06-23-00:00:01,2.61,1003.45,299.15,62.0
2018-06-23-01:00:00,1.9,1003.05,301.95,49.0
2018-06-23-02:00:00,0.97,1002.36,302.75,47.0
2018-06-23-03:00:00,0.95,1001.96,304.95,39.0
2018-06-23-04:00:00,2.97,1001.46,304.95,39.0
2018-06-23-05:00:00,2.5,1000.56,306.35,37.0
2018-06-23-06:00:00,3.02,1000.17,308.05,30.0
2018-06-23-07:00:00,3.96,999.47,309.25,26.0
2018-06-23-08:00:00,3.92,998.97,309.15,25.0
2018-06-23-09:00:00,4.5,998.87,309.25,26.0
2018-06-23-10:00:00,3.99,999.36,308.75,28.0
2018-06-23-11:00:00,4.17,999.65,308.35,28.0
2018-06-23-12:00:00,3.44,1000.35,307.15,32.0
2018-06-23-13:00:00,4.41,1000.85,306.95,34.0
2018-06-23-14:00:00,3.99,1000.85,305.65,37.0
2018-06-23-15:00:00,3.47,1001.24,302.75,47.0
2018-06-23-16:00:00,3.12,1001.34,301.85,51.0
2018-06-23-17:00:00,3.15,1001.54,301.15,55.0
2018-06-23-18:00:00,2.24,1001.34,300.15,59.0
2018-06-23-19:00:00,2.05,1001.54,301.75,53.0
2018-06-23-20:00:00,2.25,1001.84,299.35,63.0
2018-06-23-21:00:00,1.37,1002.54,299.25,64.0
2018-06-23-22:00:00,2.46,1003.14,299.15,64.0
2018-06-23-23:00:00,2.88,1003.65,301.25,57.0
2018-06-24-00:00:01,2.71,1003.85,302.15,53.0
2018-06-24-01:00:00,2.3,1003.96,302.95,51.0
2018-06-24-02:00:00,3.35,1003.86,304.15,49.0
2018-06-24-03:00:00,4.0,1003.77,305.55,46.0
2018-06-24-04:00:00,4.09,1003.37,306.35,45.0
2018-06-24-05:00:00,4.82,1002.77,307.35,40.0
2018-06-24-06:00:00,6.78,1002.37,307.85,39.0
2018-06-24-07:00:00,5.26,1001.77,308.35,38.0
2018-06-24-08:00:00,4.61,1001.37,308.45,36.0
2018-06-24-09:00:00,4.82,1001.47,307.95,37.0
2018-06-24-10:00:00,4.06,1001.36,307.65,38.0
2018-06-24-11:00:00,5.75,1001.16,307.25,39.0
2018-06-24-12:00:00,4.49,1001.96,306.55,39.0
2018-06-24-13:00:00,5.01,1002.66,306.05,38.0
2018-06-24-14:00:00,5.61,1003.16,305.65,36.0
2018-06-24-15:00:00,3.97,1003.36,304.55,40.0
2018-06-24-16:00:00,4.26,1003.26,303.45,40.0
2018-06-24-17:00:00,5.31,1003.05,302.95,41.0
2018-06-24-18:00:00,3.14,1002.75,301.05,54.0
2018-06-24-19:00:00,2.56,1002.24,300.05,59.0
2018-06-24-20:00:00,4.13,1002.34,299.65,59.0
2018-06-24-21:00:00,3.76,1002.34,299.55,59.0
2018-06-24-22:00:00,4.53,1002.24,299.85,59.0
2018-06-24-23:00:00,3.39,1002.15,300.35,57.0
2018-06-25-00:00:01,2.48,1002.05,301.55,55.0
2018-06-25-01:00:00,3.46,1002.36,302.85,52.0
2018-06-25-02:00:00,3.07,1002.66,303.65,51.0
2018-06-25-03:00:00,3.86,1002.66,303.85,49.0
2018-06-25-04:00:00,3.81,1002.56,304.05,51.0
2018-06-25-05:00:00,3.07,1002.05,303.35,53.0
2018-06-25-06:00:00,3.11,1001.85,302.65,58.0
2018-06-25-07:00:00,4.19,1002.05,302.65,58.0
2018-06-25-08:00:00,1.99,1002.55,302.25,62.0
2018-06-25-09:00:00,2.42,1002.05,302.15,65.0
2018-06-25-10:00:00,3.08,1001.55,301.55,66.0
2018-06-25-11:00:00,4.12,1002.35,301.25,68.0
2018-06-25-12:00:00,4.31,1002.95,300.95,68.0
2018-06-25-13:00:00,2.77,1003.35,299.95,72.0
2018-06-25-14:00:00,3.85,1003.65,300.05,71.0
2018-06-25-15:00:00,1.92,1003.25,299.55,74.0
2018-06-25-16:00:00,1.39,1003.34,299.65,73.0
2018-06-25-17:00:00,2.32,1002.74,299.45,72.0
2018-06-25-18:00:00,2.16,1002.23,299.05,74.0
2018-06-25-19:00:00,2.7,1001.84,298.85,73.0
2018-06-25-20:00:00,1.9,1001.54,298.25,78.0
2018-06-25-21:00:00,1.78,1001.74,298.15,79.0
2018-06-25-22:00:00,2.26,1001.94,298.55,78.0
2018-06-25-23:00:00,2.54,1002.04,298.85,77.0
2018-06-26-00:00:01,2.83,1002.54,299.15,76.0
2018-06-26-01:00:00,3.15,1002.25,300.15,72.0
2018-06-26-02:00:00,3.32,1002.15,301.75,64.0
2018-06-26-03:00:00,3.31,1001.85,302.65,63.0
2018-06-26-04:00:00,4.47,1001.36,303.55,60.0
2018-06-26-05:00:00,5.17,1000.16,305.25,54.0
2018-06-26-06:00:00,2.98,1000.16,305.65,51.0
2018-06-26-07:00:00,6.81,1001.72,295.55,75.0
2018-06-26-08:00:00,5.5,999.04,301.95,47.0
2018-06-26-09:00:00,3.63,998.75,303.65,47.0
2018-06-26-10:00:00,2.32,998.55,304.35,48.0
2018-06-26-11:00:00,2.95,998.94,303.35,51.0
2018-06-26-12:00:00,2.14,999.14,301.85,56.0
2018-06-26-13:00:00,1.86,999.23,301.15,57.0
2018-06-26-14:00:00,3.23,998.94,300.95,56.0
2018-06-26-15:00:00,1.84,998.83,299.45,66.0
2018-06-26-16:00:00,2.56,999.03,299.05,67.0
2018-06-26-17:00:00,0.94,998.73,298.95,68.0
2018-06-26-18:00:00,1.94,998.63,297.75,76.0
2018-06-26-19:00:00,2.15,998.42,296.85,81.0
2018-06-26-20:00:00,2.31,998.72,296.65,82.0
2018-06-26-21:00:00,2.5,998.72,296.15,84.0
2018-06-26-22:00:00,1.56,998.73,298.05,74.0
2018-06-26-23:00:00,2.93,999.14,299.95,65.0
2018-06-27-00:00:01,2.71,999.25,302.65,54.0
2018-06-27-01:00:00,2.9,999.15,304.55,44.0
2018-06-27-02:00:00,3.93,998.86,308.05,25.0
2018-06-27-03:00:00,2.75,998.37,310.15,19.0
2018-06-27-04:00:00,3.01,997.97,310.35,19.0
2018-06-27-05:00:00,5.03,997.57,309.95,19.0
2018-06-27-06:00:00,4.72,997.57,309.55,19.0
2018-06-27-07:00:00,5.36,997.37,310.95,19.0
2018-06-27-08:00:00,5.41,997.47,309.65,19.0
2018-06-27-09:00:00,7.06,997.37,310.25,18.0
2018-06-27-10:00:00,6.56,997.56,309.45,19.0
2018-06-27-11:00:00,5.48,998.26,307.55,22.0
2018-06-27-12:00:00,4.52,999.15,305.25,26.0
2018-06-27-13:00:00,2.87,1000.15,302.55,32.0
2018-06-27-14:00:00,2.96,1000.54,301.95,33.0
2018-06-27-15:00:00,4.08,1000.75,302.85,29.0
2018-06-27-16:00:00,4.49,1000.94,300.45,35.0
2018-06-27-17:00:00,2.53,1001.04,299.95,37.0
2018-06-27-18:00:00,3.95,1000.83,299.75,38.0
2018-06-27-19:00:00,2.19,1000.62,297.85,45.0
2018-06-27-20:00:00,3.13,1000.83,297.85,43.0
2018-06-27-21:00:00,2.45,1001.42,296.15,50.0
2018-06-27-22:00:00,1.58,1001.84,299.85,41.0
2018-06-27-23:00:00,2.89,1002.05,301.95,32.0
2018-06-28-00:00:01,3.7,1002.35,302.85,32.0
2018-06-28-01:00:00,2.29,1002.26,304.25,30.0
2018-06-28-02:00:00,5.79,1001.86,305.05,27.0
2018-06-28-03:00:00,5.36,1001.47,306.25,23.0
2018-06-28-04:00:00,4.15,1000.67,307.95,21.0
2018-06-28-05:00:00,4.35,999.97,308.65,20.0
2018-06-28-06:00:00,2.62,999.37,308.45,19.0
2018-06-28-07:00:00,3.31,998.87,309.25,17.0
2018-06-28-08:00:00,2.86,998.47,309.85,17.0
2018-06-28-09:00:00,1.42,998.07,309.55,16.0
2018-06-28-10:00:00,1.89,997.76,308.75,18.0
2018-06-28-11:00:00,2.55,997.86,308.45,19.0
2018-06-28-12:00:00,2.84,998.04,307.95,19.0
2018-06-28-13:00:00,3.17,998.73,307.75,20.0
2018-06-28-14:00:00,4.28,999.16,306.45,22.0
2018-06-28-15:00:00,2.39,999.54,303.55,28.0
2018-06-28-16:00:00,3.65,999.63,300.65,42.0
2018-06-28-17:00:00,3.04,999.43,298.95,49.0
2018-06-28-18:00:00,2.61,999.53,298.75,50.0
2018-06-28-19:00:00,1.88,999.42,298.25,52.0
2018-06-28-20:00:00,2.81,999.42,296.85,57.0
2018-06-28-21:00:00,2.46,999.52,296.35,53.0
2018-06-28-22:00:00,3.04,999.42,297.95,51.0
2018-06-28-23:00:00,2.26,999.34,300.85,39.0
2018-06-29-00:00:01,2.39,999.15,301.65,36.0
2018-06-29-01:00:00,2.25,998.85,304.05,30.0
2018-06-29-02:00:00,2.39,998.76,306.05,28.0
2018-06-29-03:00:00,2.36,998.46,308.65,23.0
2018-06-29-04:00:00,2.81,997.87,309.65,21.0
2018-06-29-05:00:00,4.97,996.77,311.25,21.0
2018-06-29-06:00:00,5.15,996.17,312.65,17.0
2018-06-29-07:00:00,2.98,996.27,311.95,15.0
2018-06-29-08:00:00,11.6,997.86,305.85,27.0
2018-06-29-09:00:00,1.72,996.75,306.35,24.0
2018-06-29-10:00:00,6.52,996.76,308.55,19.0
2018-06-29-11:00:00,4.9,997.85,307.45,20.0
2018-06-29-12:00:00,2.81,998.44,305.35,27.0
2018-06-29-13:00:00,2.2,999.73,302.75,34.0
2018-06-29-14:00:00,2.6,1000.43,304.15,31.0
2018-06-29-15:00:00,6.04,1000.35,303.55,32.0
2018-06-29-16:00:00,5.15,1000.84,301.35,41.0
2018-06-29-17:00:00,3.84,1000.74,300.45,45.0
2018-06-29-18:00:00,3.74,1000.94,299.55,49.0
2018-06-29-19:00:00,3.29,1001.34,299.15,52.0
2018-06-29-20:00:00,1.76,1001.84,298.35,56.0
2018-06-29-21:00:00,1.71,1002.43,298.05,57.0
2018-06-29-22:00:00,2.13,1003.14,298.25,58.0
2018-06-29-23:00:00,2.61,1003.45,299.55,54.0
2018-06-30-00:00:01,3.4,1003.75,300.95,53.0
2018-06-30-01:00:00,3.83,1003.96,302.15,50.0
2018-06-30-02:00:00,4.25,1004.26,303.55,47.0
2018-06-30-03:00:00,4.78,1004.57,304.95,44.0
2018-06-30-04:00:00,4.96,1004.47,305.95,39.0
2018-06-30-05:00:00,5.2,1003.87,307.05,34.0
2018-06-30-06:00:00,5.97,1002.97,307.75,36.0
2018-06-30-07:00:00,7.08,1002.27,308.25,34.0
2018-06-30-08:00:00,7.14,1002.47,307.35,41.0
2018-06-30-09:00:00,7.63,1002.66,306.05,41.0
2018-06-30-10:00:00,7.63,1002.46,304.95,36.0
2018-06-30-11:00:00,8.85,1006.84,295.15,76.0
2018-06-30-12:00:00,4.65,1006.54,295.35,79.0
2018-06-30-13:00:00,4.01,1006.74,294.85,85.0
2018-06-30-14:00:00,3.53,1006.94,294.25,87.0
2018-06-30-15:00:00,1.61,1009.04,295.05,84.0
2018-06-30-16:00:00,2.7,1008.14,295.15,80.0
2018-06-30-17:00:00,4.9,1006.64,294.95,82.0
2018-06-30-18:00:00,3.28,1006.84,295.15,80.0
2018-06-30-19:00:00,1.65,1006.44,294.25,85.0
2018-06-30-20:00:00,1.19,1006.74,295.35,77.0
2018-06-30-21:00:00,1.57,1007.14,295.15,79.0
2018-06-30-22:00:00,2.03,1007.54,295.05,82.0
2018-06-30-23:00:00,1.79,1007.95,295.75,82.0
2018-07-01-00:00:01,3.01,1008.15,297.15,70.0
2018-07-01-01:00:00,3.17,1008.35,297.95,67.0
2018-07-01-02:00:00,2.48,1007.86,298.95,62.0
2018-07-01-03:00:00,1.91,1007.36,300.35,57.0
2018-07-01-04:00:00,3.2,1006.86,301.05,56.0
2018-07-01-05:00:00,4.24,1006.36,302.35,55.0
2018-07-01-06:00:00,4.42,1005.76,302.15,59.0
2018-07-01-07:00:00,5.13,1005.26,303.15,54.0
2018-07-01-08:00:00,5.57,1004.96,303.65,51.0
2018-07-01-09:00:00,3.75,1004.46,303.55,51.0
2018-07-01-10:00:00,5.37,1004.46,303.55,51.0
2018-07-01-11:00:00,6.03,1004.46,303.35,53.0
2018-07-01-12:00:00,5.2,1004.86,301.65,60.0
2018-07-01-13:00:00,5.54,1005.25,300.85,63.0
2018-07-01-14:00:00,5.34,1005.55,300.05,66.0
2018-07-01-15:00:00,4.21,1005.45,299.45,67.0
2018-07-01-16:00:00,3.53,1005.55,298.85,69.0
2018-07-01-17:00:00,4.27,1005.65,298.55,69.0
2018-07-01-18:00:00,3.81,1005.75,298.15,74.0
2018-07-01-19:00:00,3.49,1005.64,297.65,78.0
2018-07-01-20:00:00,3.98,1005.64,297.35,79.0
2018-07-01-21:00:00,3.28,1005.74,297.25,78.0
2018-07-01-22:00:00,3.69,1005.54,297.15,78.0
2018-07-01-23:00:00,3.53,1005.44,297.15,79.0
2018-07-02-00:00:01,2.86,1005.65,297.45,76.0
2018-07-02-01:00:00,2.77,1005.15,298.15,73.0
2018-07-02-02:00:00,3.11,1005.35,298.85,69.0
2018-07-02-03:00:00,3.93,1005.55,299.05,68.0
2018-07-02-04:00:00,3.6,1005.16,300.55,63.0
2018-07-02-05:00:00,1.83,1004.16,301.95,58.0
2018-07-02-06:00:00,3.5,1003.16,302.65,55.0
2018-07-02-07:00:00,3.65,1002.76,303.25,54.0
2018-07-02-08:00:00,4.59,1001.96,303.65,53.0
2018-07-02-09:00:00,3.79,1001.96,303.95,53.0
2018-07-02-10:00:00,3.87,1001.55,303.35,55.0
2018-07-02-11:00:00,4.36,1001.35,303.55,53.0
2018-07-02-12:00:00,4.41,1001.35,303.05,56.0
2018-07-02-13:00:00,5.51,1002.25,301.95,57.0
2018-07-02-14:00:00,4.24,1002.45,300.95,59.0
2018-07-02-15:00:00,4.49,1002.75,300.35,62.0
2018-07-02-16:00:00,3.68,1002.94,297.55,80.0
2018-07-02-17:00:00,1.83,1002.44,297.75,80.0
2018-07-02-18:00:00,1.97,1002.44,297.25,82.0
2018-07-02-19:00:00,2.34,1002.33,296.65,87.0
2018-07-02-20:00:00,3.35,1002.23,296.25,88.0
2018-07-02-21:00:00,2.88,1002.43,295.95,89.0
2018-07-02-22:00:00,2.68,1002.33,295.85,89.0
2018-07-02-23:00:00,3.21,1002.94,296.05,89.0
2018-07-03-00:00:01,3.11,1003.24,296.45,87.0
2018-07-03-01:00:00,1.92,1002.34,297.25,83.0
2018-07-03-02:00:00,2.34,1002.04,297.75,79.0
2018-07-03-03:00:00,1.84,1002.04,298.55,75.0
2018-07-03-04:00:00,1.48,1001.65,300.15,70.0
2018-07-03-05:00:00,1.82,1000.75,301.95,62.0
2018-07-03-06:00:00,2.08,999.85,302.35,59.0
2018-07-03-07:00:00,2.42,998.95,302.85,59.0
2018-07-03-08:00:00,3.0,998.45,303.65,54.0
2018-07-03-09:00:00,3.76,997.85,303.65,54.0
2018-07-03-10:00:00,3.7,997.55,303.75,55.0
2018-07-03-11:00:00,3.74,997.74,303.35,57.0
2018-07-03-12:00:00,3.81,998.44,302.85,58.0
2018-07-03-13:00:00,3.64,998.74,302.55,59.0
2018-07-03-14:00:00,4.28,998.34,301.95,63.0
2018-07-03-15:00:00,4.21,998.54,301.05,66.0
2018-07-03-16:00:00,2.7,998.54,300.55,67.0
2018-07-03-17:00:00,4.32,998.53,300.15,67.0
2018-07-03-18:00:00,2.71,998.53,298.85,74.0
2018-07-03-19:00:00,2.33,998.93,298.15,76.0
2018-07-03-20:00:00,2.26,998.93,297.35,81.0
2018-07-03-21:00:00,1.93,999.33,297.55,80.0
2018-07-03-22:00:00,2.54,999.43,297.95,77.0
2018-07-03-23:00:00,2.47,999.03,298.65,75.0
2018-07-04-00:00:01,2.14,999.04,300.25,70.0
2018-07-04-01:00:00,1.82,999.25,302.35,63.0
2018-07-04-02:00:00,1.63,998.95,303.85,52.0
2018-07-04-03:00:00,1.45,998.35,304.35,49.0
2018-07-04-04:00:00,2.18,997.96,305.85,46.0
2018-07-04-05:00:00,2.11,997.36,307.05,41.0
2018-07-04-06:00:00,2.9,996.66,307.45,41.0
2018-07-04-07:00:00,2.37,996.36,308.05,40.0
2018-07-04-08:00:00,3.7,995.96,308.95,39.0
2018-07-04-09:00:00,3.95,995.25,308.45,38.0
2018-07-04-10:00:00,3.29,995.65,308.65,37.0
2018-07-04-11:00:00,4.28,996.15,308.05,40.0
2018-07-04-12:00:00,4.81,996.85,307.25,42.0
2018-07-04-13:00:00,3.87,997.45,306.95,43.0
2018-07-04-14:00:00,4.51,997.84,305.75,46.0
2018-07-04-15:00:00,3.72,997.94,305.15,49.0
2018-07-04-16:00:00,3.61,998.04,302.95,58.0
2018-07-04-17:00:00,3.07,998.54,301.75,68.0
2018-07-04-18:00:00,4.26,998.94,300.55,75.0
2018-07-04-19:00:00,2.18,998.94,299.85,77.0
2018-07-04-20:00:00,2.39,999.03,299.55,78.0
2018-07-04-21:00:00,2.93,999.63,299.05,77.0
2018-07-04-22:00:00,2.73,1000.24,299.35,74.0
2018-07-04-23:00:00,3.31,1000.54,300.55,68.0
2018-07-05-00:00:01,3.55,1001.05,301.45,66.0
2018-07-05-01:00:00,2.75,1001.35,302.55,62.0
2018-07-05-02:00:00,3.15,1001.56,304.15,58.0
2018-07-05-03:00:00,2.03,1001.36,305.45,52.0
2018-07-05-04:00:00,2.05,1001.07,307.05,49.0
2018-07-05-05:00:00,3.2,1000.27,308.15,43.0
2018-07-05-06:00:00,1.42,1000.36,307.65,44.0
2018-07-05-07:00:00,2.53,1000.17,307.95,43.0
2018-07-05-08:00:00,2.03,1000.66,307.75,42.0
2018-07-05-09:00:00,5.94,1000.36,305.25,40.0
2018-07-05-10:00:00,11.84,1003.66,300.95,59.0
2018-07-05-11:00:00,4.63,1003.84,297.25,70.0
2018-07-05-12:00:00,7.97,1004.94,296.85,73.0
2018-07-05-13:00:00,2.9,1005.14,297.75,68.0
2018-07-05-14:00:00,2.72,1005.44,297.55,73.0
2018-07-05-15:00:00,1.99,1005.54,297.05,75.0
2018-07-05-16:00:00,2.65,1005.64,296.45,79.0
2018-07-05-17:00:00,2.33,1005.84,296.35,81.0
2018-07-05-18:00:00,2.02,1005.94,296.15,81.0
2018-07-05-19:00:00,2.65,1006.44,295.65,84.0
2018-07-05-20:00:00,2.05,1006.64,295.35,85.0
2018-07-05-21:00:00,2.03,1007.04,295.35,83.0
2018-07-05-22:00:00,2.84,1007.24,296.25,81.0
2018-07-05-23:00:00,3.38,1007.45,298.15,73.0
2018-07-06-00:00:01,3.43,1007.56,300.25,62.0
2018-07-06-01:00:00,2.63,1007.36,302.15,58.0
2018-07-06-02:00:00,2.27,1007.47,302.45,57.0
2018-07-06-03:00:00,1.99,1007.07,305.05,46.0
2018-07-06-04:00:00,4.27,1006.97,305.35,47.0
2018-07-06-05:00:00,2.75,1006.38,306.15,46.0
2018-07-06-06:00:00,5.61,1005.68,306.75,41.0
2018-07-06-07:00:00,4.37,1005.38,307.85,39.0
2018-07-06-08:00:00,5.74,1005.17,307.35,39.0
2018-07-06-09:00:00,6.16,1005.28,307.35,39.0
2018-07-06-10:00:00,5.73,1005.37,306.65,42.0
2018-07-06-11:00:00,6.45,1005.97,305.25,47.0
2018-07-06-12:00:00,6.13,1006.47,304.35,49.0
2018-07-06-13:00:00,5.91,1007.37,303.55,52.0
2018-07-06-14:00:00,6.02,1007.66,302.05,60.0
2018-07-06-15:00:00,4.58,1007.96,301.05,63.0
2018-07-06-16:00:00,4.95,1008.06,300.15,69.0
2018-07-06-17:00:00,4.13,1008.16,299.65,73.0
2018-07-06-18:00:00,3.41,1008.25,298.85,78.0
2018-07-06-19:00:00,3.73,1008.45,298.55,77.0
2018-07-06-20:00:00,3.37,1008.55,297.85,80.0
2018-07-06-21:00:00,3.55,1008.65,296.85,86.0
2018-07-06-22:00:00,3.85,1008.85,296.95,84.0
2018-07-06-23:00:00,4.13,1008.95,296.85,86.0
2018-07-07-00:00:01,3.3,1009.05,296.65,86.0
2018-07-07-01:00:00,4.3,1008.85,296.95,83.0
2018-07-07-02:00:00,4.99,1008.45,297.15,84.0
2018-07-07-03:00:00,4.44,1008.36,298.25,76.0
2018-07-07-04:00:00,3.76,1007.36,299.25,71.0
2018-07-07-05:00:00,2.67,1007.46,298.95,72.0
2018-07-07-06:00:00,3.2,1006.86,299.65,69.0
2018-07-07-07:00:00,4.03,1006.56,299.65,69.0
2018-07-07-08:00:00,3.2,1006.65,298.75,76.0
2018-07-07-09:00:00,2.93,1006.45,297.55,84.0
2018-07-07-10:00:00,2.41,1006.25,297.55,86.0
2018-07-07-11:00:00,1.84,1006.55,297.65,87.0
2018-07-07-12:00:00,1.68,1006.75,297.35,89.0
2018-07-07-13:00:00,1.95,1006.95,297.05,91.0
2018-07-07-14:00:00,2.41,1006.45,296.95,91.0
2018-07-07-15:00:00,1.73,1006.45,296.95,91.0
2018-07-07-16:00:00,3.1,1006.65,297.35,88.0
2018-07-07-17:00:00,3.22,1006.14,296.55,92.0
2018-07-07-18:00:00,3.24,1006.14,296.85,90.0
2018-07-07-19:00:00,2.48,1005.94,296.85,90.0
2018-07-07-20:00:00,2.12,1005.94,296.45,91.0
2018-07-07-21:00:00,3.7,1005.54,296.45,91.0
2018-07-07-22:00:00,2.89,1005.64,296.65,92.0
2018-07-07-23:00:00,2.32,1006.15,296.65,91.0
2018-07-08-00:00:01,2.09,1006.35,296.85,91.0
2018-07-08-01:00:00,2.14,1006.75,297.05,90.0
2018-07-08-02:00:00,2.05,1006.45,298.45,84.0
2018-07-08-03:00:00,1.36,1006.46,299.55,77.0
2018-07-08-04:00:00,1.69,1006.36,300.15,74.0
2018-07-08-05:00:00,1.97,1006.36,301.25,71.0
2018-07-08-06:00:00,2.3,1005.66,302.25,65.0
2018-07-08-07:00:00,2.2,1005.46,302.45,64.0
2018-07-08-08:00:00,3.48,1005.36,302.85,63.0
2018-07-08-09:00:00,3.44,1005.77,303.35,60.0
2018-07-08-10:00:00,4.71,1006.16,302.95,65.0
2018-07-08-11:00:00,3.94,1006.66,302.45,67.0
2018-07-08-12:00:00,4.24,1007.36,301.45,74.0
2018-07-08-13:00:00,3.62,1008.36,300.45,78.0
2018-07-08-14:00:00,4.0,1008.36,300.85,76.0
2018-07-08-15:00:00,3.75,1008.66,300.65,76.0
2018-07-08-16:00:00,3.66,1008.66,300.55,74.0
2018-07-08-17:00:00,3.05,1008.06,300.15,77.0
2018-07-08-18:00:00,3.64,1008.36,299.15,81.0
2018-07-08-19:00:00,3.14,1008.06,299.35,80.0
2018-07-08-20:00:00,3.39,1008.46,298.95,82.0
2018-07-08-21:00:00,3.64,1008.76,298.95,81.0
2018-07-08-22:00:00,2.52,1009.46,298.35,86.0
2018-07-08-23:00:00,3.58,1009.76,299.15,83.0
2018-07-09-00:00:01,2.95,1010.46,299.25,83.0
2018-07-09-01:00:00,3.76,1010.67,299.75,80.0
2018-07-09-02:00:00,4.09,1010.97,299.85,80.0
2018-07-09-03:00:00,3.97,1010.67,300.45,76.0
2018-07-09-04:00:00,4.41,1010.77,300.75,74.0
2018-07-09-05:00:00,4.78,1010.66,299.45,69.0
2018-07-09-06:00:00,3.28,1011.07,299.45,71.0
2018-07-09-07:00:00,1.16,1010.56,299.05,71.0
2018-07-09-08:00:00,2.18,1010.37,300.45,72.0
2018-07-09-09:00:00,3.22,1010.26,299.05,72.0
2018-07-09-10:00:00,0.97,1010.56,297.15,88.0
2018-07-09-11:00:00,3.86,1010.86,298.95,80.0
2018-07-09-12:00:00,4.83,1011.56,298.25,78.0
2018-07-09-13:00:00,4.89,1012.36,297.95,79.0
2018-07-09-14:00:00,3.5,1012.76,297.75,80.0
2018-07-09-15:00:00,4.08,1012.86,297.45,78.0
2018-07-09-16:00:00,2.93,1012.66,296.75,81.0
2018-07-09-17:00:00,2.17,1012.36,296.45,82.0
2018-07-09-18:00:00,2.41,1012.06,296.45,81.0
2018-07-09-19:00:00,2.31,1011.86,296.15,83.0
2018-07-09-20:00:00,2.29,1012.06,296.25,83.0
2018-07-09-21:00:00,1.66,1012.06,295.95,84.0
2018-07-09-22:00:00,2.12,1012.46,296.15,81.0
2018-07-09-23:00:00,1.93,1012.36,296.35,81.0
2018-07-10-00:00:01,1.89,1012.76,296.55,81.0
2018-07-10-01:00:00,1.72,1012.76,297.05,78.0
2018-07-10-02:00:00,2.17,1012.76,297.35,77.0
2018-07-10-03:00:00,1.71,1012.37,299.05,69.0
2018-07-10-04:00:00,1.47,1011.97,300.45,64.0
2018-07-10-05:00:00,1.05,1011.27,301.05,63.0
2018-07-10-06:00:00,2.64,1010.97,301.15,59.0
2018-07-10-07:00:00,3.35,1010.77,301.15,62.0
2018-07-10-08:00:00,3.12,1010.57,301.55,59.0
2018-07-10-09:00:00,3.03,1010.17,301.85,61.0
2018-07-10-10:00:00,2.23,1009.67,301.55,59.0
2018-07-10-11:00:00,3.18,1009.86,301.05,60.0
2018-07-10-12:00:00,3.47,1010.46,300.35,65.0
2018-07-10-13:00:00,3.11,1011.16,300.05,67.0
2018-07-10-14:00:00,3.45,1010.76,299.85,66.0
2018-07-10-15:00:00,2.1,1010.15,299.75,66.0
2018-07-10-16:00:00,3.18,1010.26,299.25,68.0
2018-07-10-17:00:00,2.52,1009.85,299.05,70.0
2018-07-10-18:00:00,3.75,1009.76,298.85,70.0
2018-07-10-19:00:00,3.16,1009.66,298.25,70.0
2018-07-10-20:00:00,2.45,1009.35,297.65,72.0
2018-07-10-21:00:00,2.52,1009.25,297.55,72.0
2018-07-10-22:00:00,2.22,1009.35,297.35,75.0
2018-07-10-23:00:00,2.8,1009.35,296.75,80.0
2018-07-11-00:00:01,3.45,1009.65,296.85,81.0
2018-07-11-01:00:00,3.15,1009.85,296.35,84.0
2018-07-11-02:00:00,4.05,1010.05,295.05,90.0
2018-07-11-03:00:00,4.2,1010.25,294.85,85.0
2018-07-11-04:00:00,2.49,1009.85,294.55,86.0
2018-07-11-05:00:00,1.72,1009.04,294.65,88.0
2018-07-11-06:00:00,2.4,1008.34,294.75,87.0
2018-07-11-07:00:00,2.12,1008.04,294.65,87.0
2018-07-11-08:00:00,2.32,1007.64,294.65,87.0
2018-07-11-09:00:00,2.8,1007.34,294.45,87.0
2018-07-11-10:00:00,2.03,1007.54,294.05,90.0
2018-07-11-11:00:00,2.04,1007.54,293.75,92.0
2018-07-11-12:00:00,1.67,1007.64,293.95,92.0
2018-07-11-13:00:00,1.59,1008.04,294.15,92.0
2018-07-11-14:00:00,1.63,1007.94,294.05,92.0
2018-07-11-15:00:00,1.56,1007.74,294.15,92.0
2018-07-11-16:00:00,1.0,1007.54,294.15,92.0
2018-07-11-17:00:00,2.11,1007.14,294.15,92.0
2018-07-11-18:00:00,0.82,1006.64,294.15,92.0
2018-07-11-19:00:00,1.59,1006.94,294.45,91.0
2018-07-11-20:00:00,0.96,1006.44,294.35,91.0
2018-07-11-21:00:00,1.8,1006.64,294.35,92.0
2018-07-11-22:00:00,0.9,1007.44,294.55,91.0
2018-07-11-23:00:00,1.8,1007.54,294.85,91.0
2018-07-12-00:00:01,2.54,1007.34,295.25,89.0
2018-07-12-01:00:00,2.14,1007.55,296.35,83.0
2018-07-12-02:00:00,0.85,1007.65,297.15,78.0
2018-07-12-03:00:00,0.66,1007.75,297.75,77.0
2018-07-12-04:00:00,1.94,1007.15,298.15,75.0
2018-07-12-05:00:00,1.94,1007.05,299.05,71.0
