data-time,wind,ap,tmp,humi
2018-03-14-04:00:00,2.92,1009.22,286.95,54.0
2018-03-14-05:00:00,3.83,1008.42,287.05,54.0
2018-03-14-06:00:00,4.15,1007.72,287.55,52.0
2018-03-14-07:00:00,3.13,1007.12,287.55,53.0
2018-03-14-08:00:00,2.73,1006.91,287.55,53.0
2018-03-14-09:00:00,1.47,1006.82,287.65,54.0
2018-03-14-10:00:00,1.53,1007.22,287.65,54.0
2018-03-14-11:00:00,1.04,1007.01,287.05,56.0
2018-03-14-12:00:00,2.06,1008.21,285.45,60.0
2018-03-14-13:00:00,1.5,1009.11,285.25,62.0
2018-03-14-14:00:00,4.19,1010.02,285.65,62.0
2018-03-14-15:00:00,3.9,1010.81,285.35,65.0
2018-03-14-16:00:00,5.86,1012.12,286.55,52.0
2018-03-14-17:00:00,7.76,1013.03,287.55,28.0
2018-03-14-18:00:00,10.4,1014.73,286.45,26.0
2018-03-14-19:00:00,7.76,1016.63,285.35,27.0
2018-03-14-20:00:00,8.31,1018.23,284.35,28.0
2018-03-14-21:00:00,8.82,1019.23,283.25,29.0
2018-03-14-22:00:00,8.05,1021.63,282.45,28.0
2018-03-14-23:00:00,8.6,1023.13,281.15,27.0
2018-03-15-00:00:01,9.42,1025.23,280.65,22.0
2018-03-15-01:00:00,11.22,1026.44,280.55,15.0
2018-03-15-02:00:00,10.79,1027.14,282.35,11.0
2018-03-15-03:00:00,9.64,1027.45,281.75,11.0
2018-03-15-04:00:00,8.61,1027.65,283.75,9.0
2018-03-15-05:00:00,8.49,1027.35,283.75,9.0
2018-03-15-06:00:00,4.53,1026.96,284.55,9.0
2018-03-15-07:00:00,7.34,1026.55,285.65,8.0
2018-03-15-08:00:00,8.18,1026.26,285.65,7.0
2018-03-15-09:00:00,6.2,1026.75,285.05,9.0
2018-03-15-10:00:00,4.53,1027.15,283.95,9.0
2018-03-15-11:00:00,6.26,1028.04,282.45,25.0
2018-03-15-12:00:00,5.63,1029.64,281.15,26.0
2018-03-15-13:00:00,5.19,1031.24,280.35,25.0
2018-03-15-14:00:00,6.23,1032.34,278.95,31.0
2018-03-15-15:00:00,5.43,1032.84,277.75,35.0
2018-03-15-16:00:00,5.25,1033.53,276.55,43.0
2018-03-15-17:00:00,4.99,1033.73,275.55,50.0
2018-03-15-18:00:00,3.82,1033.73,275.65,47.0
2018-03-15-19:00:00,3.15,1033.42,274.85,53.0
2018-03-15-20:00:00,2.99,1033.72,273.45,59.0
2018-03-15-21:00:00,2.86,1033.62,273.75,56.0
2018-03-15-22:00:00,2.03,1033.92,272.95,60.0
2018-03-15-23:00:00,1.73,1034.52,272.35,65.0
2018-03-16-00:00:01,2.37,1034.64,275.65,51.0
2018-03-16-01:00:00,1.76,1035.15,277.15,45.0
2018-03-16-02:00:00,4.42,1034.95,278.15,37.0
2018-03-16-03:00:00,2.87,1034.15,279.65,33.0
2018-03-16-04:00:00,3.72,1032.65,280.25,30.0
2018-03-16-05:00:00,3.19,1031.25,281.25,29.0
2018-03-16-06:00:00,4.39,1029.65,281.75,27.0
2018-03-16-07:00:00,5.13,1028.65,282.55,25.0
2018-03-16-08:00:00,5.62,1028.25,282.35,24.0
2018-03-16-09:00:00,6.14,1027.75,282.55,24.0
2018-03-16-10:00:00,5.15,1027.44,281.85,26.0
2018-03-16-11:00:00,4.79,1027.64,281.25,27.0
2018-03-16-12:00:00,4.42,1028.13,280.25,30.0
2018-03-16-13:00:00,5.3,1028.23,280.05,31.0
2018-03-16-14:00:00,6.46,1028.53,279.55,33.0
2018-03-16-15:00:00,6.2,1028.43,277.65,35.0
2018-03-16-16:00:00,3.84,1028.23,276.85,35.0
2018-03-16-17:00:00,4.54,1027.52,277.15,34.0
2018-03-16-18:00:00,3.02,1027.52,275.75,41.0
2018-03-16-19:00:00,2.51,1026.41,274.95,47.0
2018-03-16-20:00:00,2.29,1025.91,274.95,46.0
2018-03-16-21:00:00,2.46,1025.81,275.45,42.0
2018-03-16-22:00:00,2.14,1025.71,275.15,47.0
2018-03-16-23:00:00,2.15,1025.81,275.25,47.0
2018-03-17-00:00:01,2.69,1026.32,275.45,45.0
2018-03-17-01:00:00,1.73,1027.12,274.95,58.0
2018-03-17-02:00:00,2.49,1027.52,273.95,80.0
2018-03-17-03:00:00,2.33,1026.91,273.35,92.0
2018-03-17-04:00:00,2.83,1026.31,273.85,89.0
2018-03-17-05:00:00,2.04,1025.61,273.35,94.0
2018-03-17-06:00:00,2.46,1025.01,273.75,95.0
2018-03-17-07:00:00,1.91,1024.71,274.05,92.0
2018-03-17-08:00:00,2.05,1024.51,274.35,88.0
2018-03-17-09:00:00,2.19,1024.21,274.45,89.0
2018-03-17-10:00:00,2.54,1024.41,274.75,89.0
2018-03-17-11:00:00,2.73,1024.51,274.65,89.0
2018-03-17-12:00:00,2.34,1024.91,274.75,90.0
2018-03-17-13:00:01,1.26,1025.31,274.95,89.0
2018-03-17-14:00:00,1.72,1025.21,274.75,92.0
2018-03-17-15:00:00,1.29,1025.01,274.75,91.0
2018-03-17-16:00:00,1.58,1024.91,274.75,92.0
2018-03-17-17:00:00,0.89,1024.71,274.85,92.0
2018-03-17-18:00:00,0.98,1024.61,274.85,91.0
2018-03-17-19:00:00,1.82,1023.91,274.55,89.0
2018-03-17-20:00:01,1.85,1023.4,274.25,90.0
2018-03-17-21:00:01,1.74,1023.6,273.35,89.0
2018-03-17-22:00:01,1.96,1024.1,272.75,92.0
2018-03-17-23:00:00,1.7,1023.9,272.75,94.0
2018-03-18-00:00:02,2.0,1024.21,274.85,92.0
2018-03-18-01:00:00,2.37,1024.72,276.75,80.0
2018-03-18-02:00:00,2.08,1024.83,278.15,70.0
2018-03-18-03:00:00,1.44,1024.63,279.55,61.0
2018-03-18-04:00:00,1.47,1024.03,281.45,55.0
2018-03-18-05:00:00,1.25,1022.94,283.35,46.0
2018-03-18-06:00:00,2.11,1021.74,283.65,43.0
2018-03-18-07:00:00,2.41,1021.04,284.55,40.0
2018-03-18-08:00:00,2.75,1020.74,285.15,37.0
2018-03-18-09:00:00,3.41,1020.64,285.25,35.0
2018-03-18-10:00:00,3.37,1021.34,284.45,40.0
2018-03-18-11:00:00,4.34,1022.13,283.25,46.0
2018-03-18-12:00:00,4.01,1022.72,281.45,54.0
2018-03-18-13:00:00,3.73,1023.22,281.15,61.0
2018-03-18-14:00:00,3.89,1023.62,280.25,68.0
2018-03-18-15:00:00,1.45,1023.82,279.05,73.0
2018-03-18-16:00:00,1.38,1023.71,277.45,79.0
2018-03-18-17:00:00,1.08,1023.81,276.85,80.0
2018-03-18-18:00:00,1.03,1023.61,277.45,79.0
2018-03-18-19:00:00,2.78,1023.41,275.55,85.0
2018-03-18-20:00:00,3.01,1023.32,277.05,78.0
2018-03-18-21:00:00,1.59,1023.81,275.85,77.0
2018-03-18-22:00:00,2.72,1024.41,276.35,75.0
2018-03-18-23:00:00,1.21,1025.31,276.85,75.0
2018-03-19-00:00:01,2.24,1026.44,279.75,64.0
2018-03-19-01:00:00,2.22,1027.04,281.65,50.0
2018-03-19-02:00:00,3.85,1027.05,284.35,29.0
2018-03-19-03:00:00,7.67,1026.96,286.05,21.0
2018-03-19-04:00:00,2.91,1026.86,286.25,26.0
2018-03-19-05:00:00,4.04,1025.96,286.75,24.0
2018-03-19-06:00:00,3.14,1025.16,287.35,25.0
2018-03-19-07:00:00,4.13,1024.46,287.65,23.0
